# Frozen trade-log export from the backtest notebook (private), frozen 2026-07-29, exported 2026-08-05
# for the dashboard.
# Derived aggregate only (rebased index / rule outputs); no raw research inputs. NEVER regenerated by automation.
# Engine-vs-backtest verification: tests/test_signal_reference.py (exact match on every comparable day).
Trade#,Signal_date,Exec_date,Exec_price,Effective_from,Prev_alloc,New_alloc,Note
1,2007-07-19,2007-07-20,1.5172,2007-07-23,0,1,initial position
2,2007-08-09,2007-08-10,1.3389,2007-08-13,1,0.5,
3,2007-08-10,2007-08-13,1.3563,2007-08-14,0.5,1,
4,2007-08-13,2007-08-14,1.3131,2007-08-15,1,0.5,
5,2007-08-15,2007-08-16,1.2354,2007-08-17,0.5,0,
6,2007-08-17,2007-08-20,1.2877,2007-08-21,0,0.5,
7,2007-09-12,2007-09-13,1.4344,2007-09-14,0.5,1,
8,2007-11-08,2007-11-09,1.46,2007-11-12,1,0.5,
9,2007-12-12,2007-12-13,1.5236,2007-12-14,0.5,1,
10,2008-01-04,2008-01-07,1.3314,2008-01-08,1,0,
11,2008-02-13,2008-02-14,1.0969,2008-02-15,0,1,
12,2008-02-14,2008-02-15,1.0929,2008-02-19,1,0,
13,2008-02-27,2008-02-28,1.083,2008-02-29,0,1,
14,2008-02-28,2008-02-29,1.0507,2008-03-03,1,0,
15,2008-04-09,2008-04-10,1.1596,2008-04-11,0,0.5,
16,2008-04-11,2008-04-14,1.0814,2008-04-15,0.5,0,
17,2008-04-16,2008-04-17,1.1655,2008-04-18,0,0.5,
18,2008-04-21,2008-04-22,1.2045,2008-04-23,0.5,1,
19,2008-04-22,2008-04-23,1.2173,2008-04-24,1,0.5,
20,2008-04-23,2008-04-24,1.2338,2008-04-25,0.5,1,
21,2008-05-21,2008-05-22,1.2886,2008-05-23,1,0,
22,2008-05-27,2008-05-28,1.3431,2008-05-29,0,1,
23,2008-06-06,2008-06-09,1.3139,2008-06-10,1,0,
24,2008-07-23,2008-07-24,1.0837,2008-07-25,0,1,
25,2008-07-24,2008-07-25,1.1128,2008-07-28,1,0,
26,2008-07-25,2008-07-28,1.079,2008-07-29,0,1,
27,2008-07-28,2008-07-29,1.1113,2008-07-30,1,0,
28,2008-07-29,2008-07-30,1.1304,2008-07-31,0,1,
29,2008-08-01,2008-08-04,1.0773,2008-08-05,1,0,
30,2008-08-05,2008-08-06,1.1778,2008-08-07,0,1,
31,2008-08-25,2008-08-26,1.1672,2008-08-27,1,0,
32,2008-12-05,2008-12-08,0.4243,2008-12-09,0,0.5,
33,2008-12-23,2008-12-24,0.3962,2008-12-26,0.5,0,
34,2008-12-30,2008-12-31,0.4112,2009-01-02,0,1,
35,2009-01-12,2009-01-13,0.4048,2009-01-14,1,0,
36,2009-01-28,2009-01-29,0.4026,2009-01-30,0,1,
37,2009-01-29,2009-01-30,0.3873,2009-02-02,1,0,
38,2009-02-03,2009-02-04,0.4104,2009-02-05,0,1,
39,2009-02-17,2009-02-18,0.3904,2009-02-19,1,0,
40,2009-03-12,2009-03-13,0.3725,2009-03-16,0,0.5,
41,2009-03-23,2009-03-24,0.4143,2009-03-25,0.5,0,
42,2009-04-06,2009-04-07,0.4399,2009-04-08,0,1,
43,2009-05-13,2009-05-14,0.493,2009-05-15,1,0,
44,2009-05-18,2009-05-19,0.524,2009-05-20,0,1,
45,2009-05-21,2009-05-22,0.497,2009-05-26,1,0,
46,2009-05-26,2009-05-27,0.526,2009-05-28,0,1,
47,2010-05-20,2010-05-21,0.8565,2010-05-24,1,0,
48,2010-05-27,2010-05-28,0.8837,2010-06-01,0,1,
49,2010-06-04,2010-06-07,0.8322,2010-06-08,1,0,
50,2010-06-11,2010-06-14,0.8765,2010-06-15,0,1,
51,2010-06-24,2010-06-25,0.8701,2010-06-28,1,0,
52,2010-07-13,2010-07-14,0.8781,2010-07-15,0,1,
53,2010-07-16,2010-07-19,0.8452,2010-07-20,1,0,
54,2010-07-19,2010-07-20,0.8646,2010-07-21,0,1,
55,2010-08-11,2010-08-12,0.8539,2010-08-13,1,0,
56,2010-09-02,2010-09-03,0.89,2010-09-07,0,1,
57,2011-06-10,2011-06-13,1.237,2011-06-14,1,0,
58,2011-06-14,2011-06-15,1.2235,2011-06-16,0,1,
59,2011-06-15,2011-06-16,1.2131,2011-06-17,1,0,
60,2011-06-21,2011-06-22,1.2515,2011-06-23,0,1,
61,2011-06-22,2011-06-23,1.2747,2011-06-24,1,0,
62,2011-06-23,2011-06-24,1.2302,2011-06-27,0,1,
63,2011-06-24,2011-06-27,1.2701,2011-06-28,1,0,
64,2011-06-27,2011-06-28,1.3068,2011-06-29,0,1,
65,2011-08-02,2011-08-03,1.335,2011-08-04,1,0,
66,2011-08-03,2011-08-04,1.2126,2011-08-05,0,1,
67,2011-08-04,2011-08-05,1.1963,2011-08-08,1,0,
68,2011-09-06,2011-09-07,1.209,2011-09-08,0,0.5,
69,2011-09-08,2011-09-09,1.1446,2011-09-12,0.5,1,
70,2011-09-09,2011-09-12,1.175,2011-09-13,1,0,
71,2011-09-12,2011-09-13,1.2051,2011-09-14,0,1,
72,2011-09-22,2011-09-23,1.188,2011-09-26,1,0,
73,2011-09-27,2011-09-28,1.2039,2011-09-29,0,1,
74,2011-09-28,2011-09-29,1.1761,2011-09-30,1,0,
75,2011-10-10,2011-10-11,1.277,2011-10-12,0,1,
76,2011-11-01,2011-11-02,1.2993,2011-11-03,1,0,
77,2011-11-03,2011-11-04,1.3405,2011-11-07,0,1,
78,2011-11-09,2011-11-10,1.2906,2011-11-11,1,0,
79,2011-11-11,2011-11-14,1.3235,2011-11-15,0,1,
80,2011-11-16,2011-11-17,1.2486,2011-11-18,1,0,
81,2011-12-01,2011-12-02,1.2747,2011-12-05,0,1,
82,2011-12-09,2011-12-12,1.2659,2011-12-13,1,0,
83,2011-12-12,2011-12-13,1.2366,2011-12-14,0,1,
84,2011-12-13,2011-12-14,1.1995,2011-12-15,1,0,
85,2011-12-20,2011-12-21,1.2136,2011-12-22,0,1,
86,2011-12-21,2011-12-22,1.2344,2011-12-23,1,0,
87,2011-12-23,2011-12-27,1.2634,2011-12-28,0,1,
88,2011-12-28,2011-12-29,1.2516,2011-12-30,1,0,
89,2011-12-29,2011-12-30,1.2457,2012-01-03,0,1,
90,2011-12-30,2012-01-03,1.2911,2012-01-04,1,0,
91,2012-01-03,2012-01-04,1.3022,2012-01-05,0,1,
92,2012-10-24,2012-10-25,1.6741,2012-10-26,1,0,
93,2012-11-01,2012-11-02,1.6696,2012-11-05,0,1,
94,2012-11-02,2012-11-05,1.6952,2012-11-06,1,0,
95,2012-11-05,2012-11-06,1.7026,2012-11-07,0,1,
96,2012-11-07,2012-11-08,1.5732,2012-11-09,1,0,
97,2012-11-29,2012-11-30,1.7029,2012-12-03,0,1,
98,2012-12-14,2012-12-17,1.6882,2012-12-18,1,0,
99,2012-12-17,2012-12-18,1.7381,2012-12-19,0,1,
100,2012-12-24,2012-12-26,1.6518,2012-12-27,1,0,
101,2013-01-02,2013-01-03,1.7707,2013-01-04,0,1,
102,2014-10-16,2014-10-17,3.414,2014-10-20,1,0,
103,2014-10-17,2014-10-20,3.5149,2014-10-21,0,1,
104,2015-08-20,2015-08-21,4.0949,2015-08-24,1,0,
105,2015-09-21,2015-09-22,4.2045,2015-09-23,0,0.5,
106,2015-09-22,2015-09-23,4.207,2015-09-24,0.5,0,
107,2015-10-05,2015-10-06,4.2661,2015-10-07,0,1,
108,2016-01-04,2016-01-05,4.6006,2016-01-06,1,0,
109,2016-02-22,2016-02-23,3.9268,2016-02-24,0,1,
110,2016-04-26,2016-04-27,4.4037,2016-04-28,1,0,
111,2016-05-20,2016-05-23,4.2915,2016-05-24,0,1,
112,2016-06-13,2016-06-14,4.4278,2016-06-15,1,0,
113,2016-06-23,2016-06-24,4.1391,2016-06-27,0,1,
114,2016-06-24,2016-06-27,3.9792,2016-06-28,1,0,
115,2016-07-06,2016-07-07,4.4784,2016-07-08,0,1,
116,2018-02-15,2018-02-16,10.0582,2018-02-20,1,0.5,
117,2018-02-22,2018-02-23,10.4312,2018-02-26,0.5,1,
118,2018-02-23,2018-02-26,10.7054,2018-02-27,1,0.5,
119,2018-03-06,2018-03-07,10.509,2018-03-08,0.5,1,
120,2018-04-04,2018-04-05,9.4467,2018-04-06,1,0.5,
121,2018-04-23,2018-04-24,9.1614,2018-04-25,0.5,1,
122,2018-10-10,2018-10-11,10.3225,2018-10-12,1,0,
123,2018-10-12,2018-10-15,10.6189,2018-10-16,0,1,
124,2018-10-15,2018-10-16,11.2365,2018-10-17,1,0,
125,2018-10-16,2018-10-17,11.2501,2018-10-18,0,1,
126,2018-10-18,2018-10-19,10.7066,2018-10-22,1,0,
127,2018-10-22,2018-10-23,10.7486,2018-10-24,0,1,
128,2018-10-23,2018-10-24,9.7506,2018-10-25,1,0,
129,2018-11-07,2018-11-08,10.7931,2018-11-09,0,0.5,
130,2018-11-08,2018-11-09,10.4262,2018-11-12,0.5,0,
131,2018-11-28,2018-11-29,9.9556,2018-11-30,0,0.5,
132,2018-11-29,2018-11-30,10.1088,2018-12-03,0.5,1,
133,2018-12-04,2018-12-06,9.7827,2018-12-07,1,0,
134,2019-01-18,2019-01-22,9.1046,2019-01-23,0,0.5,
135,2019-01-22,2019-01-23,9.1158,2019-01-24,0.5,0,
136,2019-01-23,2019-01-24,9.2258,2019-01-25,0,0.5,
137,2019-01-25,2019-01-28,9.2159,2019-01-29,0.5,1,
138,2019-03-07,2019-03-08,10.0848,2019-03-11,1,0,
139,2019-03-11,2019-03-12,10.625,2019-03-13,0,1,
140,2019-05-29,2019-05-30,10.6559,2019-05-31,1,0,
141,2019-06-06,2019-06-07,11.1321,2019-06-10,0,1,
142,2020-03-02,2020-03-03,14.4022,2020-03-04,1,0.5,
143,2020-03-09,2020-03-10,13.5121,2020-03-11,0.5,0,
144,2020-03-10,2020-03-11,12.3336,2020-03-12,0,0.5,
145,2020-03-11,2020-03-12,10.0508,2020-03-13,0.5,0,
146,2020-04-09,2020-04-13,12.5182,2020-04-14,0,0.5,
147,2020-05-12,2020-05-13,14.4694,2020-05-14,0.5,1,
148,2020-09-08,2020-09-09,22.7013,2020-09-10,1,0.5,
149,2020-10-06,2020-10-07,22.9786,2020-10-08,0.5,1,
